technology,year,parameter,value,unit,source
battery inverter,2040,investment,242.0,€/kWel,DEA2020
battery inverter,2040,lifetime,15.0,years,PNNL 2020
battery inverter,2040,efficiency,0.88,per unit charge/discharge,PNNL 2020
battery inverter,2040,FOM,2.5,%/year,Cole 2021 (NREL)
battery inverter,2050,investment,145.0,EUR/kWel,DEA2020
battery inverter,2050,lifetime,15.0,years,PNNL 2020
battery inverter,2050,efficiency,0.88,per unit charge/discharge,PNNL 2020
battery inverter,2050,FOM,2.5,%/year,Cole 2021 (NREL)
battery storage,2040,investment,81.0,EUR/kWh,Mauler 2021
battery storage,2040,lifetime,15.0,years,NREL ut
battery storage,2040,FOM,2.5,%/year,Cole 2021 (NREL)
battery storage,2050,investment,62.0,EUR/kWh,Mauler 2021
battery storage,2050,lifetime,15.0,years,NREL ut
battery storage,2050,FOM,2.5,%/year,Cole 2021 (NREL)
biomass,2040,lifetime,40.0,years,IEA2020-2
biomass,2040,investment,1754.0,EUR/kWel,IEA2020 en IEA 2021
biomass,2040,FOM,6.3,%/year,EPA2021
biomass,2040,VOM,4.22,EUR/MWhel,EPA2021
biomass,2040,fuel,54.0,EUR/MWhth,IEA Biomass
biomass,2040,efficiency,0.41,per unit,Fraunhofer
biomass,2050,lifetime,40.0,years,IEA2020-2
biomass,2050,investment,1754.0,EUR/kWel,IEA2020 en IEA 2021
biomass,2050,FOM,6.3,%/year,EPA2021
biomass,2050,VOM,4.22,EUR/MWhel,EPA2021
biomass,2050,fuel,60.0,EUR/MWhth,IEA Biomass
biomass,2050,efficiency,0.41,per unit,Fraunhofer
BECCS,2040,lifetime,40.0,years,IEA2020-2
BECCS,2040,investment,2758.0,EUR/kWel,IEA2020 en IEA 2021
BECCS,2040,FOM,6.0,%/year,EPA2021
BECCS,2040,VOM,4.22,EUR/MWhel,EPA2021
BECCS,2040,fuel,54.0,EUR/MWhth,IEA Biomass
BECCS,2040,efficiency,0.32,per unit,Fraunhofer
BECCS,2040,CO2 intensity,-0.36,tCO2/MWth,RVO + DEA 2022 - 2
BECCS,2050,lifetime,40.0,years,IEA2020-2
BECCS,2050,investment,2758.0,EUR/kWel,IEA2020 en IEA 2021
BECCS,2050,FOM,6.0,%/year,EPA2021
BECCS,2050,VOM,4.22,EUR/MWhel,EPA2021
BECCS,2050,fuel,60.0,EUR/MWhth,IEA Biomass
BECCS,2050,efficiency,0.32,per unit,Fraunhofer
BECCS,2050,CO2 intensity,-0.36,tCO2/MWth,RVO + DEA 2022 - 2
CCGT,2040,lifetime,30.0,years,IEA2020-2
CCGT,2040,investment,877.0,EUR/kWel,IEA2020 & IEA2021
CCGT,2040,FOM,1.0,%/year,EPA2021
CCGT,2040,VOM,1.63,EUR/MWhel,EPA2021
CCGT,2040,efficiency,0.59,per unit,DEA 2022 - 2
CCGT,2050,lifetime,30.0,years,IEA2020-2
CCGT,2050,investment,877.0,EUR/kWel,IEA2020 & IEA2021
CCGT,2050,FOM,1.0,%/year,EPA2021
CCGT,2050,VOM,1.63,EUR/MWhel,EPA2021
CCGT,2050,efficiency,0.6,per unit,DEA 2022 - 2
central CHP,2030,lifetime,25.0,years,HP
central CHP,2030,investment,650.0,EUR/kWel,HP
central CHP,2030,FOM,3.0,%/year,HP
coal,2040,lifetime,40.0,years,IEA2020-2
coal,2040,investment,1754.0,EUR/kWel,IEA2020 en IEA2021
coal,2040,FOM,2.0,%/year,EPA2021
coal,2040,VOM,3.93,EUR/MWhel,EPA2021
coal,2040,fuel,8.9,EUR/MWhth,
coal,2040,efficiency,0.42,per unit,Frauenhofer
coal,2040,CO2 intensity,0.29,tCO2/MWth,RVO
coal,2050,lifetime,40.0,years,IEA2020-2
coal,2050,investment,1754.0,EUR/kWel,IEA2020 en IEA2021
coal,2050,FOM,2.0,%/year,EPA2021
coal,2050,VOM,3.93,EUR/MWhel,EPA2021
coal,2050,fuel,8.8,EUR/MWhth,
coal,2050,efficiency,0.42,per unit,Frauenhofer
coal,2050,CO2 intensity,0.29,tCO2/MWth,RVO
DAC,2040,investment,2777.0,EUR/kWel,DEA2022
DAC,2040,lifetime,20.0,years,DEA2022
DAC,2040,FOM,5.0,%/year,DEA2022
DAC,2040,VOM,0.0,EUR/MWhel,DEA2022
DAC,2040,efficiency,1.0,per unit,DEA2022
DAC,2040,CO2 intensity,0.56,tCO2/MWth,DEA2022
DAC,2050,investment,2247.0,EUR/kWel,DEA2022
DAC,2050,lifetime,20.0,years,DEA2022
DAC,2050,FOM,5.0,%/year,DEA2022
DAC,2050,VOM,0.0,EUR/MWhel,DEA2022
DAC,2050,efficiency,1.0,per unit,DEA2022
DAC,2050,CO2 intensity,0.56,tCO2/MWth,DEA2022
electrolysis,2040,investment,550.0,EUR/kWel,https://iea.blob.core.windows.net/assets/9e3a3493-b9a6-4b7d-b499-7ca48e357561/The_Future_of_Hydrogen.pdf
electrolysis,2040,FOM,1.5,%/year,BEIS 21
electrolysis,2040,lifetime,20.0,years,https://iea.blob.core.windows.net/assets/9e3a3493-b9a6-4b7d-b499-7ca48e357561/The_Future_of_Hydrogen.pdf
electrolysis,2040,efficiency,0.75,per unit,https://iea.blob.core.windows.net/assets/9e3a3493-b9a6-4b7d-b499-7ca48e357561/The_Future_of_Hydrogen.pdf
electrolysis,2050,investment,395.0,EUR/kWel,https://iea.blob.core.windows.net/assets/9e3a3493-b9a6-4b7d-b499-7ca48e357561/The_Future_of_Hydrogen.pdf
electrolysis,2050,FOM,1.5,%/year,BEIS 21
electrolysis,2050,lifetime,20.0,years,https://iea.blob.core.windows.net/assets/9e3a3493-b9a6-4b7d-b499-7ca48e357561/The_Future_of_Hydrogen.pdf
electrolysis,2050,efficiency,0.8,per unit,https://iea.blob.core.windows.net/assets/9e3a3493-b9a6-4b7d-b499-7ca48e357561/The_Future_of_Hydrogen.pdf
fuel cell,2040,investment,728.0,EUR/kWel,IEA perspectives and prjected costs
fuel cell,2040,FOM,5.0,%/year,IEA tech roadmap
fuel cell,2040,lifetime,20.0,years,IEA tech roadmap
fuel cell,2040,efficiency,0.54,per unit,IEA tech roadmap
fuel cell,2050,investment,579.0,EUR/kWel,IEA tech roadmap
fuel cell,2050,FOM,5.0,%/year,IEA tech roadmap
fuel cell,2050,lifetime,20.0,years,IEA tech roadmap
fuel cell,2050,efficiency,0.57,per unit,IEA tech roadmap
gas,2040,fuel,21.6,EUR/MWhth,IEA2011b
gas,2040,CO2 intensity,0.2,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php
gas,2050,fuel,21.6,EUR/MWhth,IEA2011b
gas,2050,CO2 intensity,0.2,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php
H2 pipeline,2040,investment,193.0,EUR/MW/km,Gas for Climate large pipe 60/40 reporpose/new https://gasforclimate2050.eu/wp-content/uploads/2022/04/EHB-A-European-hydrogen-infrastructure-vision-covering-28-countries.pdf
H2 pipeline,2040,lifetime,40.0,years,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf
H2 pipeline,2040,FOM,5.0,%/year,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf
H2 pipeline,2040,efficiency,0.98,per unit,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf
H2 pipeline,2050,investment,193.0,EUR/MW/km,Gas for Climate large pipe 60/40 reporpose/new https://gasforclimate2050.eu/wp-content/uploads/2022/04/EHB-A-European-hydrogen-infrastructure-vision-covering-28-countries.pdf
H2 pipeline,2050,lifetime,40.0,years,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf
H2 pipeline,2050,FOM,5.0,%/year,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf
H2 pipeline,2050,efficiency,0.98,per unit,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf
HVAC overhead,2040,investment,400.0,EUR/MW/km,Hagspiel
HVAC overhead,2040,lifetime,40.0,years,Hagspiel
HVAC overhead,2040,FOM,2.0,%/year,Hagspiel
HVDC inverter pair,2040,investment,150000.0,EUR/MW,Hagspiel
HVDC inverter pair,2040,lifetime,40.0,years,Hagspiel
HVDC inverter pair,2040,FOM,2.0,%/year,Hagspiel
HVDC overhead,2040,investment,400.0,EUR/MW/km,Hagspiel
HVDC overhead,2040,lifetime,40.0,years,Hagspiel
HVDC overhead,2040,FOM,2.0,%/year,Hagspiel
HVDC submarine,2040,investment,1300.0,EUR/MW/km,Table 1: https://www.researchgate.net/publication/291554198_Optioneering_analysis_for_connecting_Dogger_Bank_offshore_wind_farms_to_the_GB_electricity_network
HVDC submarine,2040,lifetime,40.0,years,Hagspiel
HVDC submarine,2040,FOM,2.0,%/year,Hagspiel
HVAC overhead,2050,investment,400.0,EUR/MW/km,Hagspiel
HVAC overhead,2050,lifetime,40.0,years,Hagspiel
HVAC overhead,2050,FOM,2.0,%/year,Hagspiel
HVDC inverter pair,2050,investment,150000.0,EUR/MW,Hagspiel
HVDC inverter pair,2050,lifetime,40.0,years,Hagspiel
HVDC inverter pair,2050,FOM,2.0,%/year,Hagspiel
HVDC overhead,2050,investment,400.0,EUR/MW/km,Hagspiel
HVDC overhead,2050,lifetime,40.0,years,Hagspiel
HVDC overhead,2050,FOM,2.0,%/year,Hagspiel
HVDC submarine,2050,investment,1300.0,EUR/MW/km,Table 1: https://www.researchgate.net/publication/291554198_Optioneering_analysis_for_connecting_Dogger_Bank_offshore_wind_farms_to_the_GB_electricity_network
HVDC submarine,2050,lifetime,40.0,years,Hagspiel
HVDC submarine,2050,FOM,2.0,%/year,Hagspiel
hydro,2040,lifetime,80.0,years,IEA2020-2
hydro,2040,investment,2437.0,EUR/kWel,IEA2020-2
hydro,2040,FOM,2.2,%/year,IEA2010
hydro,2050,lifetime,80.0,years,IEA2020-2
hydro,2050,investment,2437.0,EUR/kWel,IEA2020-2
hydro,2050,FOM,2.2,%/year,IEA2010
hydrogen underground storage,2040,investment,0.02,EUR/kWh,NREL 09
hydrogen underground storage,2040,lifetime,40.0,years,NREL 09
hydrogen underground storage,2050,investment,0.02,EUR/kWh,NREL 09
hydrogen underground storage,2050,lifetime,40.0,years,NREL 09
lignite,2040,lifetime,40.0,years,IEA2020-2
lignite,2040,investment,1700.0,EUR/kWel,Frauenhofer
lignite,2040,FOM,3.4,%/year,IEA CCC
lignite,2040,VOM,1.0,EUR/MWhel,IEA CCC
lignite,2040,fuel,2.9,EUR/MWhth,
lignite,2040,efficiency,0.42,per unit,Fra
lignite,2040,CO2 intensity,0.35,tCO2/MWth,RVO
lignite,2050,lifetime,40.0,years,IEA2020-2
lignite,2050,investment,1700.0,EUR/kWel,Frauenhofer
lignite,2050,FOM,3.4,%/year,IEA CCC
lignite,2050,VOM,1.0,EUR/MWhel,IEA CCC
lignite,2050,fuel,2.9,EUR/MWhth,
lignite,2050,efficiency,0.42,per unit,Fra
lignite,2050,CO2 intensity,0.35,tCO2/MWth,RVO
nuclear_nextgen,2040,lifetime,60.0,years,IEA2020-2
nuclear_nextgen,2040,investment,8365.0,EUR/kWel,IEA2020 & IEA2021
