,snapshot_year,renewable_lower,demand_scenario,reduction,nuclear_option,ll_wildcard,h2_demand,onwind,energy_selfconsumption,uuid,discount_rate
2040_eRisk+2035/national_100.0red_centralized_high_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,national,100,centralized_high,v1.5,h2+1.33,onwind+p0.3,,2040eRisk+2035national100.0centralized_highv1.5h2+1.33onwind+p0.3,0.0225
2040_eRisk+2035/national_100.0red_centralized_low_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,national,100,centralized_low,v1.5,h2+1.33,onwind+p0.3,,2040eRisk+2035national100.0centralized_lowv1.5h2+1.33onwind+p0.3,0.0225
2040_eRisk+2035/national_100.0red_centralized_medium_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.8c,2040,eRisk+2035,national,100,centralized_medium,v1.5,h2+1.33,onwind+p0.3,EQ0.8c,2040eRisk+2035national100.0centralized_mediumv1.5h2+1.33onwind+p0.3EQ0.8c,0.0225
2040_eRisk+2035/national_100.0red_centralized_medium_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.9c,2040,eRisk+2035,national,100,centralized_medium,v1.5,h2+1.33,onwind+p0.3,EQ0.9c,2040eRisk+2035national100.0centralized_mediumv1.5h2+1.33onwind+p0.3EQ0.9c,0.0225
2040_eRisk+2035/national_100.0red_centralized_medium_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,national,100,centralized_medium,v1.5,h2+1.33,onwind+p0.3,,2040eRisk+2035national100.0centralized_mediumv1.5h2+1.33onwind+p0.3,0.0225
2040_eRisk+2035/national_100.0red_disabled_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.8c,2040,eRisk+2035,national,100,disabled,v1.5,h2+1.33,onwind+p0.3,EQ0.8c,2040eRisk+2035national100.0disabledv1.5h2+1.33onwind+p0.3EQ0.8c,0.0225
2040_eRisk+2035/national_100.0red_disabled_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.9c,2040,eRisk+2035,national,100,disabled,v1.5,h2+1.33,onwind+p0.3,EQ0.9c,2040eRisk+2035national100.0disabledv1.5h2+1.33onwind+p0.3EQ0.9c,0.0225
2040_eRisk+2035/national_100.0red_disabled_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,national,100,disabled,v1.5,h2+1.33,onwind+p0.3,,2040eRisk+2035national100.0disabledv1.5h2+1.33onwind+p0.3,0.0225
2040_eRisk+2035/national_100.0red_SMR_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2040,eRisk+2035,national,100,SMR,v1.5,h2+1.33,onwind+p0.3,EQ0.7c,2040eRisk+2035national100.0SMRv1.5h2+1.33onwind+p0.3EQ0.7c,0.0225
2040_eRisk+2035/national_100.0red_SMR_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.8c,2040,eRisk+2035,national,100,SMR,v1.5,h2+1.33,onwind+p0.3,EQ0.8c,2040eRisk+2035national100.0SMRv1.5h2+1.33onwind+p0.3EQ0.8c,0.0225
